timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1646598049989,2523,Lights Request-1,200,OK,Project Demo 1-9,text,true,,117482,153,22,22,https://www.fibaro.com/en/smart-home-in-use/the-smart-light/,2342,0,0
1646598049989,2686,Lights Request,200,OK,Project Demo 1-18,text,true,,119032,306,21,21,https://www.fibaro.com/en/smart-home-in-use/the-smart-light/,95,0,0
1646598049989,95,Lights Request-0,301,Moved Permanently,Project Demo 1-18,text,true,,1548,153,21,21,http://www.fibaro.com/en/smart-home-in-use/the-smart-light/,95,0,0
1646598050085,2590,Lights Request-1,200,OK,Project Demo 1-18,text,true,,117484,153,21,21,https://www.fibaro.com/en/smart-home-in-use/the-smart-light/,2429,0,0
1646598049748,3387,Lights Request,200,OK,Project Demo 1-7,text,true,,119018,306,21,21,https://www.fibaro.com/en/smart-home-in-use/the-smart-light/,109,0,0
1646598049748,109,Lights Request-0,301,Moved Permanently,Project Demo 1-7,text,true,,1540,153,21,21,http://www.fibaro.com/en/smart-home-in-use/the-smart-light/,109,0,0
1646598049858,3277,Lights Request-1,200,OK,Project Demo 1-7,text,true,,117478,153,21,21,https://www.fibaro.com/en/smart-home-in-use/the-smart-light/,2680,0,0
1646598048754,4553,Lights Request,200,OK,Project Demo 1-4,text,true,,119030,306,21,21,https://www.fibaro.com/en/smart-home-in-use/the-smart-light/,105,0,0
1646598048754,106,Lights Request-0,301,Moved Permanently,Project Demo 1-4,text,true,,1550,153,21,21,http://www.fibaro.com/en/smart-home-in-use/the-smart-light/,105,0,0
1646598048860,4447,Lights Request-1,200,OK,Project Demo 1-4,text,true,,117480,153,21,21,https://www.fibaro.com/en/smart-home-in-use/the-smart-light/,3707,0,0
1646598049868,3823,Lights Request,200,OK,Project Demo 1-10,text,true,,119032,306,21,21,https://www.fibaro.com/en/smart-home-in-use/the-smart-light/,112,0,0
1646598049868,112,Lights Request-0,301,Moved Permanently,Project Demo 1-10,text,true,,1540,153,21,21,http://www.fibaro.com/en/smart-home-in-use/the-smart-light/,112,0,0
1646598049980,3711,Lights Request-1,200,OK,Project Demo 1-10,text,true,,117492,153,21,21,https://www.fibaro.com/en/smart-home-in-use/the-smart-light/,2483,0,0
