timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1.6466E+12,7179,HomePage Request,200,OK,Project Demo 1-9,text,FALSE,"The operation lasted too long: It took 7,179 milliseconds, 
but should not have lasted longer than 5,000 milliseconds.",103988,351,25,25,https://www.fibaro.com/en/,1168,0,1057
1.6466E+12,1168,HomePage Request-0,301,Moved Permanently,Project Demo 1-9,text,TRUE,,1503,116,25,25,http://www.fibaro.com/,1168,0,1057
1.6466E+12,5495,HomePage Request-1,301,Moved Permanently,Project Demo 1-9,text,TRUE,,1047,116,25,25,https://www.fibaro.com/,5494,0,4234
1.6466E+12,515,HomePage Request-2,200,OK,Project Demo 1-9,text,TRUE,,101438,119,25,25,https://www.fibaro.com/en/,249,0,0
1.6466E+12,7351,HomePage Request,200,OK,Project Demo 1-5,text,FALSE,"The operation lasted too long: It took 7,351 milliseconds, 
but should not have lasted longer than 5,000 milliseconds.",103988,351,25,25,https://www.fibaro.com/en/,1319,0,1216
1.6466E+12,1319,HomePage Request-0,301,Moved Permanently,Project Demo 1-5,text,TRUE,,1503,116,25,25,http://www.fibaro.com/,1319,0,1216
1.6466E+12,5495,HomePage Request-1,301,Moved Permanently,Project Demo 1-5,text,TRUE,,1053,116,25,25,https://www.fibaro.com/,5495,0,4240
1.6466E+12,535,HomePage Request-2,200,OK,Project Demo 1-5,text,TRUE,,101432,119,25,25,https://www.fibaro.com/en/,185,0,0
1.6466E+12,6836,HomePage Request,200,OK,Project Demo 1-19,text,FALSE,"The operation lasted too long: It took 6,836 milliseconds, 
but should not have lasted longer than 5,000 milliseconds.",103993,351,25,25,https://www.fibaro.com/en/,166,0,60
1.6466E+12,166,HomePage Request-0,301,Moved Permanently,Project Demo 1-19,text,TRUE,,1511,116,25,25,http://www.fibaro.com/,166,0,60
1.6466E+12,6114,HomePage Request-1,301,Moved Permanently,Project Demo 1-19,text,TRUE,,1039,116,25,25,https://www.fibaro.com/,6114,0,4890
1.6466E+12,554,HomePage Request-2,200,OK,Project Demo 1-19,text,TRUE,,101443,119,25,25,https://www.fibaro.com/en/,192,0,0
1.6466E+12,6914,HomePage Request,200,OK,Project Demo 1-18,text,FALSE,"The operation lasted too long: It took 6,914 milliseconds, 
but should not have lasted longer than 5,000 milliseconds.",103995,351,25,25,https://www.fibaro.com/en/,138,0,43
1.6466E+12,138,HomePage Request-0,301,Moved Permanently,Project Demo 1-18,text,TRUE,,1509,116,25,25,http://www.fibaro.com/,138,0,43
1.6466E+12,6257,HomePage Request-1,301,Moved Permanently,Project Demo 1-18,text,TRUE,,1043,116,25,25,https://www.fibaro.com/,6257,0,4929
1.6466E+12,518,HomePage Request-2,200,OK,Project Demo 1-18,text,TRUE,,101443,119,25,25,https://www.fibaro.com/en/,259,0,0
1.6466E+12,7392,HomePage Request,200,OK,Project Demo 1-2,text,FALSE,"The operation lasted too long: It took 7,392 milliseconds, 
but should not have lasted longer than 5,000 milliseconds.",103980,351,25,25,https://www.fibaro.com/en/,1337,0,1229
1.6466E+12,1337,HomePage Request-0,301,Moved Permanently,Project Demo 1-2,text,TRUE,,1507,116,25,25,http://www.fibaro.com/,1337,0,1229
1.6466E+12,5493,HomePage Request-1,301,Moved Permanently,Project Demo 1-2,text,TRUE,,1035,116,25,25,https://www.fibaro.com/,5493,0,4274
1.6466E+12,561,HomePage Request-2,200,OK,Project Demo 1-2,text,TRUE,,101438,119,25,25,https://www.fibaro.com/en/,219,0,0
1.6466E+12,7424,HomePage Request,200,OK,Project Demo 1-1,text,FALSE,"The operation lasted too long: It took 7,424 milliseconds, 
but should not have lasted longer than 5,000 milliseconds.",103982,351,25,25,https://www.fibaro.com/en/,2361,0,2264
1.6466E+12,2361,HomePage Request-0,301,Moved Permanently,Project Demo 1-1,text,TRUE,,1505,116,25,25,http://www.fibaro.com/,2361,0,2264
1.6466E+12,4471,HomePage Request-1,301,Moved Permanently,Project Demo 1-1,text,TRUE,,1039,116,25,25,https://www.fibaro.com/,4471,0,3204
1.6466E+12,590,HomePage Request-2,200,OK,Project Demo 1-1,text,TRUE,,101438,119,25,25,https://www.fibaro.com/en/,177,0,0
1.6466E+12,7163,HomePage Request,200,OK,Project Demo 1-10,text,FALSE,"The operation lasted too long: It took 7,163 milliseconds, 
but should not have lasted longer than 5,000 milliseconds.",103994,351,25,25,https://www.fibaro.com/en/,189,0,44
1.6466E+12,195,HomePage Request-0,301,Moved Permanently,Project Demo 1-10,text,TRUE,,1497,116,25,25,http://www.fibaro.com/,189,0,44
1.6466E+12,6414,HomePage Request-1,301,Moved Permanently,Project Demo 1-10,text,TRUE,,1051,116,25,25,https://www.fibaro.com/,6414,0,5176
1.6466E+12,544,HomePage Request-2,200,OK,Project Demo 1-10,text,TRUE,,101446,119,25,25,https://www.fibaro.com/en/,192,0,0
1.6466E+12,7174,HomePage Request,200,OK,Project Demo 1-12,text,FALSE,"The operation lasted too long: It took 7,174 milliseconds, 
but should not have lasted longer than 5,000 milliseconds.",103983,351,25,25,https://www.fibaro.com/en/,183,0,44
1.6466E+12,183,HomePage Request-0,301,Moved Permanently,Project Demo 1-12,text,TRUE,,1503,116,25,25,http://www.fibaro.com/,183,0,44
1.6466E+12,6557,HomePage Request-1,301,Moved Permanently,Project Demo 1-12,text,TRUE,,1037,116,25,25,https://www.fibaro.com/,6557,0,5170
1.6466E+12,432,HomePage Request-2,200,OK,Project Demo 1-12,text,TRUE,,101443,119,25,25,https://www.fibaro.com/en/,244,0,0
1.6466E+12,7409,HomePage Request,200,OK,Project Demo 1-6,text,FALSE,"The operation lasted too long: It took 7,409 milliseconds,
 but should not have lasted longer than 5,000 milliseconds.",103995,351,25,25,https://www.fibaro.com/en/,348,0,169
1.6466E+12,354,HomePage Request-0,301,Moved Permanently,Project Demo 1-6,text,TRUE,,1505,116,25,25,http://www.fibaro.com/,348,0,169
1.6466E+12,6418,HomePage Request-1,301,Moved Permanently,Project Demo 1-6,text,TRUE,,1049,116,25,25,https://www.fibaro.com/,6418,0,5150
1.6466E+12,627,HomePage Request-2,200,OK,Project Demo 1-6,text,TRUE,,101441,119,25,25,https://www.fibaro.com/en/,274,0,0
1.6466E+12,6798,HomePage Request,200,OK,Project Demo 1-22,text,FALSE,"The operation lasted too long: It took 6,798 milliseconds,
 but should not have lasted longer than 5,000 milliseconds.",103988,351,25,25,https://www.fibaro.com/en/,171,0,42
1.6466E+12,171,HomePage Request-0,301,Moved Permanently,Project Demo 1-22,text,TRUE,,1503,116,25,25,http://www.fibaro.com/,171,0,42
1.6466E+12,6049,HomePage Request-1,301,Moved Permanently,Project Demo 1-22,text,TRUE,,1041,116,25,25,https://www.fibaro.com/,6049,0,4718
1.6466E+12,576,HomePage Request-2,200,OK,Project Demo 1-22,text,TRUE,,101444,119,25,25,https://www.fibaro.com/en/,287,0,0
1.6466E+12,6713,HomePage Request,200,OK,Project Demo 1-24,text,FALSE,"The operation lasted too long: It took 6,713 milliseconds, 
but should not have lasted longer than 5,000 milliseconds.",103974,351,25,25,https://www.fibaro.com/en/,159,0,48
1.6466E+12,159,HomePage Request-0,301,Moved Permanently,Project Demo 1-24,text,TRUE,,1501,116,25,25,http://www.fibaro.com/,159,0,48
1.6466E+12,5978,HomePage Request-1,301,Moved Permanently,Project Demo 1-24,text,TRUE,,1037,116,25,25,https://www.fibaro.com/,5978,0,4692
1.6466E+12,574,HomePage Request-2,200,OK,Project Demo 1-24,text,TRUE,,101436,119,25,25,https://www.fibaro.com/en/,237,0,0
1.6466E+12,7113,HomePage Request,200,OK,Project Demo 1-16,text,FALSE,"The operation lasted too long: It took 7,113 milliseconds,
 but should not have lasted longer than 5,000 milliseconds.",103984,351,25,25,https://www.fibaro.com/en/,1159,0,1048
1.6466E+12,1159,HomePage Request-0,301,Moved Permanently,Project Demo 1-16,text,TRUE,,1501,116,25,25,http://www.fibaro.com/,1159,0,1048
1.6466E+12,5724,HomePage Request-1,301,Moved Permanently,Project Demo 1-16,text,TRUE,,1043,116,25,25,https://www.fibaro.com/,5724,0,3980
1.6466E+12,228,HomePage Request-2,200,OK,Project Demo 1-16,text,TRUE,,101440,119,25,25,https://www.fibaro.com/en/,204,0,0
1.6466E+12,7520,HomePage Request,200,OK,Project Demo 1-7,text,FALSE,"The operation lasted too long: It took 7,520 milliseconds, 
but should not have lasted longer than 5,000 milliseconds.",103992,351,25,25,https://www.fibaro.com/en/,307,0,128
1.6466E+12,312,HomePage Request-0,301,Moved Permanently,Project Demo 1-7,text,TRUE,,1513,116,25,25,http://www.fibaro.com/,307,0,128
1.6466E+12,6239,HomePage Request-1,301,Moved Permanently,Project Demo 1-7,text,TRUE,,1039,116,25,25,https://www.fibaro.com/,6239,0,5177
1.6466E+12,954,HomePage Request-2,200,OK,Project Demo 1-7,text,TRUE,,101440,119,25,25,https://www.fibaro.com/en/,242,0,0
